LogID,ContractID,SourceFile,Status
1,MAO-4,H0001.MAO00440.D250306.T081530t,Failed
2,MMR,H1234.MONMEMD.R202502.D250201.T083015t,Failed
3,MCMD,H4567.MCMD.D250401.T101010t,Failed
4,MCMD,H4567.MCMD.D250101.T141414t,Failed
5,BQN,H5432.R202504.#BQN4.D240401.T064110t,Failed
6,Monthly MSP,H1234.R202503.MSPCOBMA.D250301.T121212t,Failed
7,Monthly MSP,H2345.R202505.MSPCOBMA.D250501.T111111t,Failed
8,Monthly MSP,H3456.R202504.MSPCOBMA.D250401.T101010t,Failed
9,Monthly MSP,H3456.R202501.MSPCOBMA.D250101.T141414t,Failed
10,Monthly MSP,H4567.R202502.MSPCOBMA.D250201.T131313t,Failed
11,FEDF ,H1234.FEFD.R202503.D250301.T083015t,Failed
12,FEDF ,H2345.FEFD.R202503.D250301.T083015t,Failed
13,FEDF ,H3456.FEFD.R202503.D250301.T083015t,Failed
14,FEDF ,H4567.FEFD.R202503.D250301.T083015t,Failed
15,FEDF ,H6789.FEFD.R202503.D250301.T083015t,Failed
16,COB–OHI,H1234.R202506.MARXCOB.D250603.T074501t,Failed
17,COB–OHI,H2345.R202506.MARXCOB.D250603.T074501t,Failed
18,COB–OHI,H3456.R202506.MARXCOB.D250603.T074501t,Failed
19,COB–OHI,H4567.R202506.MARXCOB.D250603.T074501t,Failed
20,COB–OHI,H5678.R202506.MARXCOB.D250603.T074501t,Failed
21,MAO-2,ENC4789.XX.MAO002.FLAT.D250301.T120045t,Scheduled
22,MMR,H1234.MONMEMD.R202502.D250201.T083015t,Scheduled
23,MMR,H1234.MONMEMD.R202503.D250301.T083015t,Scheduled
24,MCMD,H4567.MCMD.D250501.T111111t,Scheduled
25,BQN,H8765.R202504.#BQN4.D240401.T061010t,Scheduled
26,BQN,H4321.R202505.#BQN4.D240501.T065120t,Scheduled
27,Monthly MSP,H1234.R202502.MSPCOBMA.D250201.T131313t,Scheduled
28,Monthly MSP,H2345.R202503.MSPCOBMA.D250301.T121212t,Scheduled
29,Monthly MSP,H3456.R202505.MSPCOBMA.D250501.T111111t,Scheduled
30,Monthly MSP,H4567.R202504.MSPCOBMA.D250401.T101010t,Scheduled
31,Monthly MSP,H4567.R202501.MSPCOBMA.D250101.T141414t,Scheduled
32,FEDF ,H1234.FEFD.R202504.D250401.T083015t,Scheduled
33,FEDF ,H2345.FEFD.R202504.D250401.T083015t,Scheduled
34,FEDF ,H3456.FEFD.R202504.D250401.T083015t,Scheduled
35,FEDF ,H4567.FEFD.R202504.D250401.T083015t,Scheduled
36,FEDF ,H6789.FEFD.R202504.D250401.T083015t,Scheduled
37,COB–OHI,H1234.R202506.MARXCOB.D250604.T074501t,Scheduled
38,COB–OHI,H2345.R202506.MARXCOB.D250604.T081300t,Scheduled
39,COB–OHI,H3456.R202506.MARXCOB.D250604.T081300t,Scheduled
40,COB–OHI,H4567.R202506.MARXCOB.D250604.T081300t,Scheduled
41,COB–OHI,H5678.R202506.MARXCOB.D250604.T081300t,Scheduled
42,MAO-4,H0001.MAO00440.D250115.T143210t,Success
43,MAO-4,H0001.MAO00440.D250201.T101530t,Success
44,MAO-4,H0001.MAO00440.D250410.T123200t,Success
45,MAO-4,H0001.MAO00440.D250505.T091845t,Success
46,MAO-4,H0002.MAO00440.D250115.T143210t,Success
47,MAO-4,H0002.MAO00440.D250201.T101530t,Success
48,MAO-4,H0002.MAO00440.D250306.T081530t,Success
49,MAO-4,H0002.MAO00440.D250410.T123200t,Success
50,MAO-4,H0002.MAO00440.D250505.T091845t,Success
51,MAO-4,H0003.MAO00440.D250115.T143210t,Success
52,MAO-4,H0003.MAO00440.D250201.T101530t,Success
53,MAO-4,H0003.MAO00440.D250306.T081530t,Success
54,MAO-4,H0003.MAO00440.D250410.T123200t,Success
55,MAO-4,H0003.MAO00440.D250505.T091845t,Success
56,MAO-4,H0004.MAO00440.D250115.T143210t,Success
57,MAO-4,H0004.MAO00440.D250201.T101530t,Success
58,MAO-4,H0004.MAO00440.D250306.T081530t,Success
59,MAO-4,H0004.MAO00440.D250410.T123200t,Success
60,MAO-4,H0004.MAO00440.D250505.T091845t,Success
61,MAO-2,ENC1023.XX.MAO002.FLAT.D240301.T082015t,Success
62,MAO-2,ENC2045.XX.MAO002.FLAT.D240401.T093025t,Success
63,MAO-2,ENC3567.XX.MAO002.FLAT.D250201.T104530t,Success
64,MMR,H1234.MONMEMD.R202501.D250101.T083015t,Success
65,MMR,H1234.MONMEMD.R202504.D250401.T083015t,Success
66,MMR,H2345.MONMEMD.R202501.D250101.T083015t,Success
67,MMR,H2345.MONMEMD.R202502.D250201.T083015t,Success
68,MMR,H2345.MONMEMD.R202503.D250301.T083015t,Success
69,MMR,H2345.MONMEMD.R202504.D250401.T083015t,Success
70,MMR,H3456.MONMEMD.R202501.D250101.T083015t,Success
71,MMR,H3456.MONMEMD.R202502.D250201.T083015t,Success
72,MMR,H3456.MONMEMD.R202503.D250301.T083015t,Success
73,MMR,H3456.MONMEMD.R202504.D250401.T083015t,Success
74,MMR,H4567.MONMEMD.R202501.D250101.T083015t,Success
75,MMR,H4567.MONMEMD.R202502.D250201.T083015t,Success
76,MMR,H4567.MONMEMD.R202503.D250301.T083015t,Success
77,MMR,H4567.MONMEMD.R202504.D250401.T083015t,Success
78,MMR,H6789.MONMEMD.R202501.D250101.T083015t,Success
79,MMR,H6789.MONMEMD.R202502.D250201.T083015t,Success
80,MMR,H6789.MONMEMD.R202503.D250301.T083015t,Success
81,MMR,H6789.MONMEMD.R202504.D250401.T083015t,Success
82,Part C MOR,H1234.HCCMODD.R202501.D250101.T083015t,Success
83,Part C MOR,H1234.HCCMODD.R202502.D250201.T083015t,Success
84,Part C MOR,H1234.HCCMODD.R202503.D250301.T083015t,Success
85,Part C MOR,H1234.HCCMODD.R202504.D250401.T083015t,Success
86,Part C MOR,H2345.HCCMODD.R202501.D250101.T083015t,Success
87,Part C MOR,H2345.HCCMODD.R202502.D250201.T083015t,Success
88,Part C MOR,H2345.HCCMODD.R202503.D250301.T083015t,Success
89,Part C MOR,H2345.HCCMODD.R202504.D250401.T083015t,Success
90,Part C MOR,H3456.HCCMODD.R202501.D250101.T083015t,Success
91,Part C MOR,H3456.HCCMODD.R202502.D250201.T083015t,Success
92,Part C MOR,H3456.HCCMODD.R202503.D250301.T083015t,Success
93,Part C MOR,H3456.HCCMODD.R202504.D250401.T083015t,Success
94,Part C MOR,H4567.HCCMODD.R202501.D250101.T083015t,Success
95,Part C MOR,H4567.HCCMODD.R202502.D250201.T083015t,Success
96,Part C MOR,H4567.HCCMODD.R202503.D250301.T083015t,Success
